"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.309869300E2,6.375624285E1,2.531240961E1,1.022393624E2,9.329942531E-1,1.546468506E2,4.735733000E0,3.375999109E0
1.319869417E2,6.375623205E1,2.531242118E1,1.026918543E2,1.066321559E0,1.546468506E2,4.736062308E0,3.375537119E0
1.329870162E2,6.375622152E1,2.531243068E1,1.029013676E2,1.140090622E0,1.585617676E2,4.733932325E0,3.378523608E0
1.339869894E2,6.375621275E1,2.531243846E1,1.026478953E2,1.034205019E0,1.585617676E2,4.735266387E0,3.376653561E0
1.349869503E2,6.375620382E1,2.531244638E1,1.023830898E2,9.884079711E-1,1.585617676E2,4.733827523E0,3.378670450E0
1.359868958E2,6.375618961E1,2.531245596E1,1.026174166E2,1.269209637E0,1.648571777E2,4.731622946E0,3.381757136E0
1.369868299E2,6.375617709E1,2.531246361E1,1.021926949E2,1.387485333E0,1.648571777E2,4.727651817E0,3.387306501E0
1.379867593E2,6.375616856E1,2.531246883E1,1.019251688E2,1.129141887E0,1.648571777E2,4.729702403E0,3.384442674E0
1.389866863E2,6.375615973E1,2.531247422E1,1.016489776E2,1.041248215E0,1.648571777E2,4.731013581E0,3.382609574E0
1.399866139E2,6.375614668E1,2.531248060E1,1.014166594E2,1.250343651E0,1.688646851E2,4.730903783E0,3.382763135E0
1.409865342E2,6.375613422E1,2.531248614E1,1.014618935E2,1.367683546E0,1.688646851E2,4.730457563E0,3.383387101E0
1.419864477E2,6.375612370E1,2.531249082E1,1.014993417E2,1.306767572E0,1.688646851E2,4.727966594E0,3.386867124E0
1.429863746E2,6.375611494E1,2.531249471E1,1.013115934E2,1.120620985E0,1.688646851E2,4.731008096E0,3.382617246E0
1.439863056E2,6.375610113E1,2.531250085E1,1.012559644E2,1.277178181E0,1.688646851E2,4.731890750E0,3.381382404E0
1.449862376E2,6.375608999E1,2.531250580E1,1.011478606E2,1.281895788E0,1.688646851E2,4.732227061E0,3.380911722E0
1.459861742E2,6.375608196E1,2.531250965E1,1.011960110E2,1.087863181E0,1.674538574E2,4.732722764E0,3.380217784E0
1.469861124E2,6.375607027E1,2.531251463E1,1.013224338E2,1.219472238E0,1.694050293E2,4.732149053E0,3.381020907E0
1.479860531E2,6.375605749E1,2.531252003E1,1.011831335E2,1.299379748E0,1.694050293E2,4.733627010E0,3.378951371E0
1.489860008E2,6.375604658E1,2.531252464E1,1.010930717E2,1.254399819E0,1.694050293E2,4.734240742E0,3.378091418E0
1.499859517E2,6.375603702E1,2.531252868E1,1.006397861E2,1.139002034E0,1.694050293E2,4.733628133E0,3.378949797E0
1.509859060E2,6.375602573E1,2.531253359E1,1.004286818E2,1.107180882E0,1.674555054E2,4.731480695E0,3.381956160E0
1.519858639E2,6.375601219E1,2.531254040E1,1.001255931E2,1.207323913E0,1.674555054E2,4.729306753E0,3.384995520E0
